# CATH_ID	S35_REPS	DOMAINS	NAME
1.10.8.10	53	255	DNA helicase RuvA subunit, C-terminal domain
1.10.8.20	4	13	N-terminal domain of phosphatidylinositol transfer protein sec14p
1.10.8.40	1	13	Albumin-binding domain
1.10.8.50	12	469	
1.10.8.60	47	513	
1.10.8.70	1	19	
1.10.8.80	2	37	
1.10.8.100	7	33	
1.10.8.110	1	7	
1.10.8.130	1	4	
1.10.8.140	3	4	DNA Binding Protein, Hypothetical Protein Mth1615; Chain A
1.10.8.160	1	4	DNA primase S; domain 2
1.10.8.190	1	19	Carbon monoxide dehydrogenase alpha subunit. Chain M, domain 1
1.10.8.200	1	3	Replisome organizer (g39p helicase loader/inhibitor protein)
1.10.8.210	1	6	multifunctional methyltransferase/dehydrogenase/ferrochelatase, domain 3
1.10.8.240	1	10	CofD-like domain
1.10.8.250	1	1	DNA polymerase III clamp loader domain like
1.10.8.260	2	2	HI0933 insert domain-like
1.10.8.270	2	7	putative rabgap domain of human tbc1 domain family member 14 like domains
1.10.8.280	2	5	ABC transporter ATPase domain-like
1.10.8.290	1	1	uncharacterized protein sp1917 domain
1.10.8.300	1	1	putative atpase (yp_676785.1)
1.10.8.330	1	1	PG0816-like
1.10.8.340	1	1	PG0816-like
1.10.8.350	1	9	Bacterial muramidase
1.10.8.360	2	3	3,6-anhydro-alpha-l-galactosidase
1.10.10.10	407	2295	"winged helix" repressor DNA binding domain
1.10.10.41	2	17	Yeast DNA topoisomerase - domain 1
1.10.10.60	137	851	Homeodomain-like
1.10.10.140	1	52	Cytochrome C oxidase subunit h
1.10.10.160	5	30	
1.10.10.180	2	45	
1.10.10.190	2	2	
1.10.10.200	5	57	
1.10.10.250	1	98	
1.10.10.350	6	36	
1.10.10.370	1	14	
1.10.10.390	1	4	
1.10.10.400	3	12	
1.10.10.410	2	3	
1.10.10.430	1	6	Phosphatase 2C; domain 2
1.10.10.440	12	19	
1.10.10.450	1	1	
1.10.10.460	2	19	Ribonuclease hii. Domain 2
1.10.10.470	1	2	Maltooligosyl trehalose synthase; domain 4
1.10.10.480	1	4	Phosphofructokinase; domain 3
1.10.10.490	1	3	beta-catenin-interacting protein ICAT, Chain B, ?????domain1
1.10.10.500	1	2	Homeodomain-like (homeo-prospero domain)
1.10.10.510	1	29	Large t antigen; domain 1
1.10.10.520	3	36	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2
1.10.10.530	1	8	mam-mhc complex, Chain D, Domain 2
1.10.10.540	2	4	XPC-binding domain
1.10.10.570	2	12	"Winged helix" DNA-binding domain. Chain C. Domain 1
1.10.10.580	2	6	Structural maintenance of chromosome 1. Chain E
1.10.10.600	1	2	Hypothetical protein yfhj
1.10.10.610	1	1	YehU-like
1.10.10.620	1	3	ribosome modulation factor like domain
1.10.10.630	2	3	DnaD domain-like
1.10.10.640	1	1	phospholipid-binding protein
1.10.10.650	1	3	RuvA domain 2-like 
1.10.10.660	1	4	conserved protein of unknown function from Enterococcus faecalis V583
1.10.10.670	1	27	photosystem ii from thermosynechococcus elongatus 
1.10.10.680	1	1	Hypothetical protein VC1899 (Restriction endonuclease-like)
1.10.10.690	1	1	YidB-like
1.10.10.710	1	5	PSPTO_1197 like
1.10.10.720	1	2	leucyl-tRNA synthetase
1.10.10.730	1	4	KorB DNA-binding domain
1.10.10.740	2	25	Crisp domain
1.10.10.750	2	3	Ypt/Rab-GAP domain of gyp1p 
1.10.10.760	1	9	E-set domains of sugar-utilizing enzymes 
1.10.12.10	29	385	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2
1.10.15.30	1	66	
1.10.20.10	38	921	Histone, subunit A
1.10.30.10	17	77	DNA Binding (I), subunit A
1.10.40.30	12	159	Fumarase/aspartase (C-terminal domain)
1.10.40.40	2	28	Deoxyribonucleotidase; domain 2
1.10.40.50	2	6	Probable gtpase engc; domain 3
1.10.40.60	2	2	EpsJ-like
1.10.45.10	5	59	Vanillyl-alcohol Oxidase; Chain A, domain 4
1.10.60.10	4	94	Iron-dependent repressor protein, dimerization domain
1.10.60.20	1	1	Rps17e-like
1.10.60.30	2	2	PSPTO4464-like domains
1.10.100.10	3	34	Insulin-like, subunit E
1.10.101.10	6	27	Muramoyl-pentapeptide Carboxypeptidase, domain 1
1.10.110.10	10	57	Plant lipid-transfer and hydrophobic proteins
1.10.132.10	3	15	
1.10.132.20	2	32	
1.10.135.10	3	118	Transferase Creatine Kinase, Chain A, domain 1
1.10.140.10	1	30	MET Apo-Repressor, subunit A
1.10.150.20	48	1004	5' to 3' exonuclease, C-terminal subdomain
1.10.150.40	1	13	Barrier-to-autointegration factor, BAF
1.10.150.50	41	159	Transcription Factor, Ets-1
1.10.150.60	6	19	
1.10.150.80	11	31	
1.10.150.90	5	30	
1.10.150.110	7	331	DNA polymerase beta, N-terminal domain-like
1.10.150.120	4	99	
1.10.150.130	17	88	
1.10.150.160	1	1	
1.10.150.170	1	7	Putative methyltransferase TM0872, insert domain
1.10.150.180	1	5	Retroviral matrix proteins
1.10.150.190	4	13	Translation initiation factor 2; subunit 1; domain 2
1.10.150.200	1	2	Maltooligosyl trehalose synthase; domain 3
1.10.150.210	4	33	Phosphoserine phosphatase; domain 2
1.10.150.220	1	3	Myosin phosphatase inhibitor 17kDa protein, CPI-17
1.10.150.240	34	208	Putative phosphatase; domain 2
1.10.150.250	3	6	Ygfy
1.10.150.260	3	4	YozE-like
1.10.150.280	2	2	AF1531-like domain
1.10.150.290	1	2	S-adenosyl-L-methionine-dependent methyltransferases 
1.10.150.300	3	7	TGS-like domain
1.10.150.310	1	3	Tex RuvX-like domain-like
1.10.150.320	1	25	Photosystem II 12 kDa extrinsic protein
1.10.150.330	1	4	zn-dependent alcohol dehydrogenase
1.10.155.10	1	2	Chemotaxis receptor methyltransferase CheR, N-terminal domain
1.10.166.10	1	15	Tetrahydrodipicolinate-N-succinyltransferase, chain A, domain 1
1.10.167.10	4	55	Regulator of G-protein Signalling 4, domain 2
1.10.168.10	2	4	Phosducin, domain 2
1.10.170.10	1	19	Bluetongue Virus 10, subunit 1, domain 3
1.10.185.10	1	1	Human T-cell Leukemia Virus Type Ii Matrix Protein
1.10.189.10	1	12	Pyruvate Phosphate Dikinase, domain 2
1.10.195.10	1	1	HIV-1 VPU cytoplasmic domain
1.10.196.10	5	23	
1.10.196.20	1	2	
1.10.210.10	1	6	Uteroglobin
1.10.220.10	18	384	
1.10.220.20	5	36	
1.10.220.30	4	16	
1.10.220.50	1	1	
1.10.220.60	1	8	GRIP domain
1.10.220.70	1	18	lyase
1.10.220.80	1	2	BH2638-like
1.10.220.90	1	1	Mistic
1.10.220.100	1	2	conserved c-terminal region of ge- 1
1.10.225.10	9	33	Saposin
1.10.230.10	6	112	Cytochrome P450-Terp, domain 2
1.10.238.10	118	1300	EF-hand
1.10.238.20	13	126	
1.10.238.70	1	4	
